ID,PALESTRA DIGITALE,INDIRIZZO,CAP,COMUNE,PROVINCIA,LATITUDINE,LONGITUDINE
0,VOID Innovation LAB,Via Vittorio Veneto 114,30027,San Dona' di Piave,VENEZIA,45.63595,12.54696
1,Polo Comunale Ex Latteria,Via Trieste 18,30020,Annone Veneto,VENEZIA,45.790785,12.682121
10,Biblioteca Comunale,Via San Giovanni 2,30024,Musile di Piave,VENEZIA,45.62166,12.56255
11,Polo Comunale Terza Eta' Circolo Due A,Via Guaiane 39,30020,Noventa di Piave,VENEZIA,45.66491,12.53664
12,Polo Comunale Culturale Leonardo da Vinci,Piazza Indipendenza 13,30027,San Dona' di Piave,VENEZIA,45.62932,12.56395
13,Villa Comunale,Via Seminario 5,30026,Portogruaro,VENEZIA,45.7766,12.8359
14,Biblioteca Comunale,Piazza Liberta' 47,30026,Pramaggiore,VENEZIA,45.81358,12.73709
15,Biblioteca Comunale,Piazza Aldo Moro 1,30026,San Stino di Livenza,VENEZIA,45.73025,12.6799
16,Biblioteca Comunale,Piazza Liberta' 1,30028,San Michele al Tagliamento,VENEZIA,45.76367,12.9955
17,Biblioteca Comunale,Piazza Indipendenza 1,30020,Torre di Mosto,VENEZIA,45.69095,12.70963
2,Biblioteca Comunale,Piazza Giacomo Matteotti 3,30021,Caorle,VENEZIA,45.59859,12.88597
3,Biblioteca Comunale,Via Roma 140,30023,Concordia Sagittaria,VENEZIA,45.7546,12.84456
4,Biblioteca Comunale,Via Roma 159,30022,Ceggia,VENEZIA,45.6848,12.63675
5,Biblioteca Comunale,Via Guglielmo Marconi 24,30020,Cinto Caomaggiore,VENEZIA,45.82659,12.78804
6,Biblioteca Comunale,Piazza Giuseppe Garibaldi 54,30020,Eraclea,VENEZIA,45.5761,12.67266
7,Biblioteca Comunale,Piazza IV Novembre 5,30020,Fossalta di Piave,VENEZIA,45.64555,12.51282
8,Polo Comunale Terza Eta' Sandro Pertini,Via Anita Garibaldi 27,30016,Jesolo,VENEZIA,45.5405,12.63186
9,Polo Comunale Ex Scuola Elementare,Via Armando Diaz 145 Localita' Losson della Battaglia,30020,Meolo,VENEZIA,45.63109,12.4796
